City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
213,Mount Isa,AU,80.37,light rain,-20.7333,139.5,Ibis Styles
216,Itarema,BR,83.19,broken clouds,-2.9248,-39.9167,Pousada Oásis
225,Faanui,PF,80.15,broken clouds,-16.4833,-151.75,Oa Oa Lodge
230,Kimbe,PG,75.97,light rain,-5.5502,150.1429,Kimbe Bay Hotel
234,Sunyani,GH,85.86,few clouds,7.3399,-2.3268,Eusbett Hotel
240,South Venice,US,77.05,clear sky,27.0531,-82.4243,Kon-Tiki Motel
248,Poum,NC,78.28,overcast clouds,-20.2333,164.0167,
252,Ituporanga,BR,78.3,broken clouds,-27.4144,-49.6025,Clasen Park Hotel
255,Zemio,CF,79.29,clear sky,5.0314,25.1361,
276,Thinadhoo,MV,81.61,few clouds,0.5333,72.9333,
277,Colina,BR,83.35,moderate rain,-20.7133,-48.5408,
279,Cartagena,CO,85.62,few clouds,10.3997,-75.5144,Hotel Bellamar
281,Sabang,ID,80.08,overcast clouds,5.8933,95.3214,Sabang Hill
287,Mabaruma,GY,77.2,light rain,8.2,-59.7833,Monty Brooms Hotel
289,Yulara,AU,77.85,few clouds,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
291,Mandera,KE,86.67,scattered clouds,3.9366,41.867,Kornesh Hotel and Lodging
294,Ugoofaaru,MV,80.44,few clouds,5.6667,73.0,
297,Puerto Madryn,AR,80.56,few clouds,-42.7692,-65.0385,Hotel Gran Palace
300,Kafanchan,NG,78.53,clear sky,9.5833,8.3,
302,Alofi,NU,76.89,scattered clouds,-19.0595,-169.9187,
315,Epe,NG,80.35,broken clouds,6.5841,3.9834,Epe Resort and Spa
316,Alvaraes,BR,80.47,overcast clouds,-3.2208,-64.8042,
319,Man,CI,86.49,few clouds,7.4125,-7.5538,Hôtel Leveneur
322,Sinnamary,GF,80.01,broken clouds,5.3833,-52.95,Hôtel du fleuve
324,Dingle,PH,75.11,overcast clouds,10.9995,122.6711,
336,Ilhabela,BR,80.73,scattered clouds,-23.7781,-45.3581,Vila Kebaya
