City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Gizo,SB,2023-01-10 21:33:36,-8.103,156.8419,82.62,76,100,7.87
68,Hargeysa,SO,2023-01-10 21:33:37,9.56,44.065,60.33,84,0,7.85
69,Saint-Gilles,FR,2023-01-10 21:33:37,43.6766,4.4302,48.11,87,0,3.44
70,Airai,TL,2023-01-10 21:33:37,-8.9266,125.4092,59.81,91,42,1.01
71,Nanortalik,GL,2023-01-10 21:33:37,60.1432,-45.2371,25.25,68,100,7.74
72,Selikhino,RU,2023-01-10 21:33:38,50.3672,137.4996,5.76,93,100,7.76
73,Dimbokro,CI,2023-01-10 21:33:38,6.6451,-4.7048,77.43,23,6,0.69
74,College,US,2023-01-10 21:33:38,64.8569,-147.8028,-5.85,77,40,4.61
75,New Norfolk,AU,2023-01-10 21:33:39,-42.7826,147.0587,59.92,72,96,2.46
76,Dingle,PH,2023-01-10 21:33:39,10.9995,122.6711,72.86,95,99,9.95
77,Port Alfred,ZA,2023-01-10 21:33:39,-33.5906,26.891,72.18,97,74,3.13
78,Port Lincoln,AU,2023-01-10 21:29:28,-34.7333,135.8667,63.28,76,6,6.98
79,Kahului,US,2023-01-10 21:33:40,20.8947,-156.47,80.62,62,20,6.91
80,Cabedelo,BR,2023-01-10 21:33:40,-6.9811,-34.8339,81.27,77,100,10.6
81,Joao Pinheiro,BR,2023-01-10 21:33:40,-17.7425,-46.1725,71.69,82,87,2.77
82,Bilma,NE,2023-01-10 21:33:41,18.6853,12.9164,59.27,28,5,7.25
83,Victoria,HK,2023-01-10 21:30:18,22.2855,114.1577,64.94,93,99,3.0
84,Qaanaaq,GL,2023-01-10 21:33:41,77.484,-69.3632,-15.47,99,100,1.48
85,Ust-Nera,RU,2023-01-10 21:33:41,64.5667,143.2,-52.51,94,43,3.02
86,Iqaluit,CA,2023-01-10 21:29:47,63.7506,-68.5145,-20.47,69,20,17.27
87,Santiago Del Estero,AR,2023-01-10 21:30:58,-27.7951,-64.2615,99.97,18,63,13.76
88,Jamestown,US,2023-01-10 21:31:41,42.097,-79.2353,36.18,46,100,0.0
89,Teguldet,RU,2023-01-10 21:33:42,57.3064,88.1667,-18.67,93,100,7.72
90,Sola,VU,2023-01-10 21:33:42,-13.8833,167.55,78.58,86,100,17.18
