City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Abu Kamal,SY,34.4506,40.9171,55.29,66,0,7.76,clear sky
79,Solnechnyy,RU,50.7214,136.6319,-20.42,98,94,2.1,overcast clouds
80,Saint Pete Beach,US,27.7253,-82.7412,77.23,65,53,10.4,broken clouds
81,Bambous Virieux,MU,-20.3428,57.7575,80.85,83,75,16.11,moderate rain
82,Hasaki,JP,35.7333,140.8333,42.22,61,97,22.93,overcast clouds
83,Wajima,JP,37.4,136.9,39.38,64,95,8.25,overcast clouds
84,Villa Carlos Paz,AR,-31.4241,-64.4978,87.39,32,74,11.99,broken clouds
85,Hithadhoo,MV,-0.6,73.0833,81.61,71,11,9.19,few clouds
86,Raudeberg,NO,61.9875,5.1352,34.95,9,100,14.03,moderate rain
87,Clyde River,CA,70.4692,-68.5914,-21.77,69,0,6.91,clear sky
88,Mar Del Plata,AR,-38.0023,-57.5575,81.82,84,75,19.57,light rain
89,Derzhavinsk,KZ,51.1,66.3167,-6.48,84,24,5.1,few clouds
90,Hobart,AU,-42.8794,147.3294,52.27,73,100,9.22,overcast clouds
91,Balkhash,KZ,46.844,74.9804,7.02,80,7,11.52,clear sky
92,Hovd,MN,48.0056,91.6419,3.15,70,10,0.31,clear sky
93,Chuy,UY,-33.6971,-53.4616,79.74,54,13,15.23,few clouds
94,Gua Musang,MY,4.8823,101.9644,69.91,98,91,1.28,overcast clouds
95,Ponta Do Sol,PT,32.6667,-17.1,61.43,58,23,8.43,few clouds
96,Homer,US,59.6425,-151.5483,30.79,94,100,11.99,mist
97,Kenai,US,60.5544,-151.2583,19.15,92,100,5.75,snow
98,Buckeye,US,33.3703,-112.5838,56.41,56,2,5.79,clear sky
99,Maniitsoq,GL,65.4167,-52.9,9.95,51,100,5.88,overcast clouds
100,Luderitz,NA,-26.6481,15.1594,68.99,80,46,14.07,scattered clouds
101,Lagoa,PT,39.05,-27.9833,55.76,67,3,6.6,clear sky
102,Njombe,TZ,-9.3333,34.7667,58.42,95,100,2.59,light rain
103,Ancud,CL,-41.8697,-73.8203,67.66,54,99,5.37,overcast clouds
104,Shimoda,JP,34.6667,138.95,43.11,88,57,16.71,broken clouds
105,Lebu,CL,-37.6167,-73.65,65.93,65,21,8.93,few clouds
106,Lompoc,US,34.6391,-120.4579,51.6,81,75,9.22,broken clouds
107,Point Pedro,LK,9.8167,80.2333,77.32,63,55,13.91,broken clouds
108,Dzerzhinsk,RU,56.2389,43.4631,21.02,79,75,8.95,broken clouds
109,Khatanga,RU,71.9667,102.5,-22.56,98,95,6.49,overcast clouds
110,Sorong,ID,-0.8833,131.25,80.44,80,98,11.74,light rain
111,Ubinskoye,RU,55.3068,79.6802,10.42,86,100,10.42,overcast clouds
112,Hambantota,LK,6.1241,81.1185,76.08,69,50,19.28,scattered clouds
113,Sicuani,PE,-14.2694,-71.2261,62.08,38,81,5.75,broken clouds
114,Henties Bay,NA,-22.116,14.2845,68.38,83,66,8.19,broken clouds
115,Barkhan,PK,29.8977,69.5256,45.77,43,94,1.34,overcast clouds
116,Bredasdorp,ZA,-34.5322,20.0403,72.25,74,57,8.28,broken clouds
117,Paamiut,GL,61.994,-49.6678,26.92,78,100,8.72,overcast clouds
118,Tuktoyaktuk,CA,69.4541,-133.0374,8.6,85,100,6.91,light snow
119,Esperance,AU,-33.8667,121.9,58.32,71,99,12.41,overcast clouds
120,Hohhot,CN,40.8106,111.6522,-0.11,85,17,4.47,few clouds
121,Taltal,CL,-25.4,-70.4833,72.72,67,6,8.55,clear sky
122,Nandurbar,IN,21.3667,74.25,68.94,35,1,4.56,clear sky
123,Lazaro Cardenas,MX,17.9583,-102.2,78.57,56,37,5.21,scattered clouds
124,Akdepe,TM,42.0551,59.3788,19.49,50,35,6.11,scattered clouds
125,Vila Velha,BR,-20.3297,-40.2925,85.95,74,40,12.66,scattered clouds
126,Omaruru,NA,-21.4333,15.9333,69.67,82,97,13.09,moderate rain
127,Melfort,CA,52.8667,-104.6177,10.53,85,99,5.75,overcast clouds
128,Jamestown,US,42.097,-79.2353,38.01,75,100,12.66,mist
129,Rubbestadneset,NO,59.8147,5.2681,36.48,100,75,5.75,broken clouds
130,Tiksi,RU,71.6872,128.8694,-26.54,100,100,2.51,overcast clouds
131,Hami,CN,42.8,93.45,14.14,46,0,0.83,clear sky
132,Synya,RU,65.3718,58.0387,11.75,93,97,9.28,overcast clouds
133,Kaitangata,NZ,-46.2817,169.8464,54.75,96,64,3.27,broken clouds
134,Aberdeen,GB,57.1437,-2.0981,36.09,83,28,12.66,scattered clouds
135,Merauke,ID,-8.4667,140.3333,80.78,84,100,13.98,overcast clouds
136,Goderich,CA,43.7501,-81.7165,37.9,93,100,10.36,overcast clouds
137,Yaan,NG,7.3833,8.5667,87.67,16,89,2.39,overcast clouds
138,Narsaq,GL,60.9167,-46.05,17.82,79,100,8.3,overcast clouds
139,Porto Novo,BJ,6.4965,2.6036,84.02,73,48,9.01,scattered clouds
140,Maragogi,BR,-9.0122,-35.2225,82.71,68,57,11.68,broken clouds
141,Thompson,CA,55.7435,-97.8558,14.16,92,100,5.75,light snow
142,Katsuura,JP,35.1333,140.3,46.0,75,91,17.67,overcast clouds
143,Ixtapa,MX,20.7,-105.2,75.22,61,48,3.0,scattered clouds
144,Akyab,MM,20.15,92.9,66.29,66,5,13.09,clear sky
145,Touros,BR,-5.1989,-35.4608,82.76,67,94,12.66,overcast clouds
146,Saiha,IN,22.4833,92.9667,49.98,57,3,4.0,clear sky
147,Hay River,CA,60.8156,-115.7999,4.98,85,100,3.44,overcast clouds
148,Thai Nguyen,VN,21.5928,105.8442,58.78,59,21,2.53,few clouds
149,Lorengau,PG,-2.0226,147.2712,80.44,79,99,6.73,overcast clouds
150,Severo-Kurilsk,RU,50.6789,156.125,16.29,59,100,24.0,light snow
151,Meulaboh,ID,4.1363,96.1285,73.89,85,93,4.36,overcast clouds
